mentee_id,categories,gender,styles,environment
1,"필라테스, 주식, 독서","여자, 남자","차분함, 비즈니스, 천천히",오프라인
2,"면접, 종교, 다이어트",여자,"협력적, 꼼꼼함, 차분함","온라인, 오프라인"
3,"경제, 코딩, 외국어","여자, 남자","신중함, 협력적, 천천히","오프라인, 온라인"
4,"프로젝트, 식단, 외국어","여자, 남자","신중함, 친목, 협력적","오프라인, 온라인"
5,"코딩, 독서, 자격증","남자, 여자","비즈니스, 꼼꼼함, 스파르타",오프라인
6,"면접, 경제, 영화","여자, 남자","활발함, 스파르타, 협력적",오프라인
7,"테니스, 다이어트, 명상",남자,"친목, 비즈니스, 긍정적","온라인, 오프라인"
8,"음악, 다이어트, 영화","여자, 남자","긍정적, 친목, 협력적","온라인, 오프라인"
9,"축구, 프로젝트, 종교",남자,"신중함, 활발함, 천천히",오프라인
10,"테니스, 필라테스, 프로젝트",남자,"친목, 스파르타, 차분함",온라인
11,"다이어트, 경제, 명상",여자,"스파르타, 긍정적, 꼼꼼함",온라인
12,"프로젝트, 축구, 식단","남자, 여자","스파르타, 천천히, 꼼꼼함",오프라인
13,"축구, 테니스, 경제","여자, 남자","스파르타, 협력적, 긍정적","오프라인, 온라인"
14,"종교, 주식, 미술",여자,"활발함, 긍정적, 차분함","오프라인, 온라인"
15,"주식, 독서, 테니스","여자, 남자","꼼꼼함, 차분함, 신중함","오프라인, 온라인"
16,"외국어, 필라테스, 영화",남자,"꼼꼼함, 비즈니스, 천천히",오프라인
17,"종교, 독서, 프로젝트",남자,"비즈니스, 친목, 긍정적","오프라인, 온라인"
18,"코딩, 음악, 헬스",남자,"긍정적, 꼼꼼함, 활발함","온라인, 오프라인"
19,"면접, 프로젝트, 다이어트","여자, 남자","스파르타, 신중함, 차분함","오프라인, 온라인"
20,"독서, 테니스, 자격증","남자, 여자","스파르타, 차분함, 신중함",오프라인
21,"자격증, 헬스, 음악",남자,"친목, 꼼꼼함, 활발함","오프라인, 온라인"
22,"식단, 종교, 독서","남자, 여자","활발함, 신중함, 천천히",오프라인
23,"외국어, 면접, 종교",남자,"꼼꼼함, 긍정적, 차분함","오프라인, 온라인"
24,"자격증, 경제, 테니스","남자, 여자","스파르타, 천천히, 친목",온라인
25,"영화, 자격증, 미술","여자, 남자","협력적, 스파르타, 긍정적","오프라인, 온라인"
26,"자격증, 종교, 식단",남자,"협력적, 꼼꼼함, 천천히",오프라인
27,"음악, 주식, 영화",여자,"천천히, 신중함, 친목","오프라인, 온라인"
28,"축구, 경제, 코딩","여자, 남자","스파르타, 차분함, 긍정적","온라인, 오프라인"
29,"헬스, 독서, 외국어","남자, 여자","꼼꼼함, 협력적, 비즈니스",오프라인
30,"프로젝트, 영화, 식단","여자, 남자","협력적, 긍정적, 차분함","오프라인, 온라인"
31,"독서, 음악, 미술","남자, 여자","비즈니스, 꼼꼼함, 차분함","온라인, 오프라인"
32,"다이어트, 축구, 주식",여자,"활발함, 꼼꼼함, 신중함","오프라인, 온라인"
33,"코딩, 식단, 외국어",여자,"친목, 차분함, 협력적",온라인
34,"음악, 외국어, 면접",여자,"친목, 스파르타, 천천히","오프라인, 온라인"
35,"헬스, 명상, 필라테스","남자, 여자","차분함, 활발함, 꼼꼼함",온라인
36,"음악, 주식, 프로젝트",여자,"신중함, 꼼꼼함, 천천히","온라인, 오프라인"
37,"축구, 프로젝트, 외국어","남자, 여자","스파르타, 활발함, 신중함",온라인
38,"필라테스, 경제, 코딩","남자, 여자","긍정적, 협력적, 천천히",온라인
39,"축구, 코딩, 음악",남자,"스파르타, 비즈니스, 긍정적",오프라인
40,"독서, 미술, 음악","여자, 남자","활발함, 비즈니스, 꼼꼼함",온라인
41,"자격증, 프로젝트, 종교",남자,"비즈니스, 꼼꼼함, 스파르타",온라인
42,"미술, 명상, 음악","남자, 여자","차분함, 협력적, 천천히","온라인, 오프라인"
43,"미술, 필라테스, 다이어트","여자, 남자","긍정적, 꼼꼼함, 활발함","온라인, 오프라인"
44,"외국어, 프로젝트, 음악",남자,"꼼꼼함, 비즈니스, 긍정적",온라인
45,"테니스, 경제, 다이어트","남자, 여자","협력적, 스파르타, 긍정적",온라인
46,"면접, 주식, 코딩",여자,"활발함, 친목, 신중함",오프라인
47,"자격증, 미술, 헬스",남자,"천천히, 협력적, 긍정적",오프라인
48,"주식, 영화, 미술",남자,"차분함, 꼼꼼함, 천천히","온라인, 오프라인"
49,"경제, 면접, 종교",여자,"천천히, 꼼꼼함, 차분함",온라인
50,"헬스, 경제, 필라테스",남자,"활발함, 협력적, 신중함",온라인
51,"주식, 다이어트, 명상","남자, 여자","천천히, 비즈니스, 꼼꼼함",온라인
52,"식단, 주식, 프로젝트","남자, 여자","긍정적, 활발함, 신중함","온라인, 오프라인"
